theta0_deg,mc_mean,mc_ci_low,mc_ci_high
0,1.0,1.0,1.0
10,0.9923611596709349,0.9922757946422474,0.9924465246996224
20,0.969555785721472,0.9692127454586451,0.969898825984299
30,0.9322928328453481,0.9315346095237642,0.9330510561669321
40,0.8826096731553899,0.8812868773011997,0.88393246900958
50,0.8210232501672985,0.8189933603529302,0.8230531399816667
60,0.7489463027371197,0.746114815748445,0.7517777897257945
70,0.6717435034307113,0.668017614370094,0.6754693924913286
80,0.5841050904344356,0.5794149653199552,0.588795215548916
90,0.4972599688813361,0.4915905569593101,0.5029293808033621
100,0.4131752297269282,0.40653763162169915,0.4198128278321573
110,0.32719132366527476,0.3195671606806692,0.3348154866498803
120,0.23973751517390943,0.23132597221586798,0.24814905813195087
130,0.1804310669334334,0.17113510544938557,0.1897270284174812
140,0.11824967637379086,0.10829145840536777,0.12820789434221394
150,0.06958985477684863,0.05902488734727695,0.08015482220642033
160,0.021410000000749434,0.010428292190881705,0.03239170781061716
170,-0.0010001053931237322,-0.012178413936642476,0.010178203150395011
180,-0.0023192311688836477,-0.013695689370669928,0.009057227032902631
