theta0_deg,analytic_mean,mc_mean,mc_ci_low,mc_ci_high
0,1.0,1.0,1.0,1.0
5,0.9980973490458728,0.9981066687637015,0.9980853159383164,0.9981280215890865
10,0.9924038765061041,0.9924488003218092,0.9923622217360287,0.9925353789075896
15,0.9829629131445341,0.9831070301180665,0.982914291793598,0.9832997684425351
20,0.9698463103929542,0.9700173108804468,0.969675967232552,0.9703586545283417
25,0.953153893518325,0.9529652450605736,0.9524322781223875,0.9534982119987596
30,0.9330127018922194,0.933285921134606,0.9325310181345351,0.9340408241346768
35,0.909576022144496,0.9096747387810108,0.9086594451725493,0.9106900323894723
40,0.883022221559489,0.8828802993792316,0.8815507252501142,0.884209873508349
45,0.8535533905932737,0.8551834576816636,0.8535332784504918,0.8568336369128354
50,0.8213938048432696,0.8217681234155804,0.8197565377756477,0.823779709055513
55,0.786788218175523,0.7871346811051695,0.7847300499412713,0.7895393122690677
60,0.75,0.7511105682097938,0.7482833817416753,0.7539377546779124
65,0.7113091308703497,0.7111412818529054,0.7078836687193856,0.7143988949864252
70,0.6710100716628344,0.667823090524089,0.6641016615561118,0.6715445194920661
75,0.6294095225512604,0.6281306107376103,0.6239629099494134,0.6322983115258073
80,0.5868240888334653,0.5869344889499067,0.5822698799854892,0.5915990979143243
85,0.5435778713738291,0.5427917164620312,0.5375915741604366,0.5479918587636258
90,0.5,0.4995220496437606,0.49385940847901755,0.5051846908085037
95,0.4564221286261709,0.45339262198728136,0.4472397070646217,0.45954553690994104
100,0.41317591116653485,0.4201262634674488,0.41350026662018435,0.42675226031471325
105,0.3705904774487396,0.3729232516076877,0.36579766391167956,0.3800488393036958
110,0.32898992833716567,0.3291965341176191,0.321640411197068,0.33675265703817026
115,0.28869086912965036,0.2875371902235412,0.2795429646013164,0.295531415845766
120,0.2500000000000001,0.2500866566483487,0.24162503684534736,0.2585482764513501
125,0.21321178182447692,0.20359606952439904,0.19466922791912739,0.2125229111296707
130,0.17860619515673032,0.18594733166909114,0.17661000921671385,0.19528465412146842
135,0.14644660940672627,0.14997901736213506,0.14031036172403857,0.15964767300023155
140,0.11697777844051105,0.11205916836059578,0.10201614980779763,0.12210218691339392
145,0.09042397785550405,0.10506499343427818,0.09479880554234275,0.1153311813262136
150,0.06698729810778065,0.06970328550122139,0.05913583817895296,0.08027073282348982
155,0.04684610648167503,0.04903663186764287,0.03822612731716485,0.059847136418120894
160,0.03015368960704584,0.04168869955334938,0.030704267369013105,0.05267313173768566
165,0.0170370868554659,0.014536848992142117,0.0033929350439195274,0.025680762940364706
170,0.00759612349389599,0.01180299278962768,0.0005709105984635001,0.02303507498079186
175,0.0019026509541272274,-0.0009553549732739558,-0.012237713352210557,0.010327003405662644
180,0.0,-0.011594737491550822,-0.022942704926128904,-0.00024677005697273935
