tau_s,Ntraj,keff_mean_s^-1,rse_of_mean
0.0001,50,2304.160068521123,0.013660199042931349
0.0001,100,2250.600568331633,0.01030624237839149
0.0001,200,2242.64301914169,0.007041440658211408
0.0001,500,2246.504177229947,0.004183951064319429
0.0001,1000,2229.881195184872,0.003172691194419351
0.0001,2000,2232.390504460205,0.002286039227652451
0.001,50,1215.9097526632509,0.016891942304825023
0.001,100,1174.1108052642821,0.011701174490041542
0.001,200,1197.0744073402543,0.009708679917894836
0.001,500,1172.3082208221424,0.0055449119225498816
0.001,1000,1172.981607476723,0.0038636618838385176
0.001,2000,1179.3028909731493,0.002822595642704103
0.01,50,330.5508969977554,0.02394841232373203
0.01,100,308.14139830449386,0.01666139047601748
0.01,200,301.7622509482056,0.01156278700137829
0.01,500,297.70588406693184,0.006584850046954692
0.01,1000,295.96765579448277,0.004981391412445481
0.01,2000,299.75473765585923,0.00351787369258837
