delta_q_A,epsilon_r,R_A,alpha_kcal_per_e
0.5,2,3.0,9.223972222222223
0.5,2,3.0707070707070705,8.804074681332239
0.5,2,3.1414141414141414,8.412210024193298
0.5,2,3.212121212121212,8.045937322000713
0.5,2,3.282828282828283,7.703075652071005
0.5,2,3.3535353535353534,7.3816715574647995
0.5,2,3.4242424242424243,7.079971160623384
0.5,2,3.494949494949495,6.796396185555816
0.5,2,3.5656565656565657,6.529523274803585
0.5,2,3.6363636363636362,6.278066093750001
0.5,2,3.707070707070707,6.040859801097342
0.5,2,3.7777777777777777,5.8168475346020765
0.5,2,3.8484848484848486,5.605068618637237
0.5,2,3.919191919191919,5.4046482473562545
0.5,2,3.9898989898989896,5.214788436148054
0.5,2,4.0606060606060606,5.034760066273112
0.5,2,4.1313131313131315,4.863895874307302
0.5,2,4.202020202020202,4.701584260297244
0.5,2,4.2727272727272725,4.547263807152558
0.5,2,4.343434343434343,4.4004184194159
0.5,2,4.414141414141414,4.260573002686299
0.5,2,4.484848484848484,4.127289616051863
0.5,2,4.555555555555555,4.000164039262344
0.5,2,4.626262626262626,3.8788227043248598
0.5,2,4.696969696969697,3.7629199479708633
0.5,2,4.767676767676767,3.6521355472116497
0.5,2,4.838383838383838,3.5461725051320387
0.5,2,4.909090909090909,3.4447550582990396
0.5,2,4.979797979797979,3.3476268807935856
0.5,2,5.05050505050505,3.2545494630000005
0.5,2,5.121212121212121,3.1653006459857846
0.5,2,5.191919191919192,3.0796732946373147
0.5,2,5.262626262626263,2.9974740947388194
0.5,2,5.333333333333333,2.9185224609375
0.5,2,5.404040404040404,2.842649544064984
0.5,2,5.474747474747474,2.769697327616727
0.5,2,5.545454545454545,2.6995178043536687
0.5,2,5.616161616161616,2.6319722250077637
0.5,2,5.686868686868687,2.566930411964577
0.5,2,5.757575757575758,2.504270131578947
0.5,2,5.828282828282829,2.4438765194681142
0.5,2,5.898989898989899,2.385641553733111
0.5,2,5.96969696969697,2.3294635715942174
0.5,2,6.04040404040404,2.275246825399045
0.5,2,6.111111111111111,2.2229010743801654
0.5,2,6.181818181818182,2.172341208910035
0.5,2,6.252525252525253,2.1234869043300333
0.5,2,6.3232323232323235,2.0762623017229935
0.5,2,6.393939393939394,2.030595713258912
0.5,2,6.4646464646464645,1.986419349975586
0.5,2,6.535353535353535,1.9436690700629948
0.5,2,6.6060606060606055,1.902284145905227
0.5,2,6.6767676767676765,1.8622070482993496
0.5,2,6.747474747474747,1.8233832464188389
0.5,2,6.818181818181818,1.785761022222222
0.5,2,6.888888888888889,1.7492912981269508
0.5,2,6.959595959595959,1.7139274768758912
0.5,2,7.03030303030303,1.6796252926203925
0.5,2,7.101010101010101,1.6463426723309367
0.5,2,7.171717171717171,1.6140396067248564
0.5,2,7.242424242424242,1.582678029971464
0.5,2,7.313131313131313,1.552221707499008
0.5,2,7.383838383838384,1.5226361312857786
0.5,2,7.454545454545454,1.4938884220701965
0.5,2,7.525252525252525,1.465947237962254
0.5,2,7.595959595959596,1.438782688981864
0.5,2,7.666666666666666,1.4123662570888469
0.5,2,7.737373737373737,1.3866707213049376
0.5,2,7.808080808080808,1.3616700875606036
0.5,2,7.878787878787879,1.3373395229289942
0.5,2,7.949494949494949,1.3136552939362482
0.5,2,8.02020202020202,1.2905947086619418
0.5,2,8.09090909090909,1.268136062365863
0.5,2,8.161616161616163,1.2462585863977793
0.5,2,8.232323232323232,1.2249424001656066
0.5,2,8.303030303030303,1.2041684659544996
0.5,2,8.373737373737374,1.1839185464051183
0.5,2,8.444444444444445,1.1641751644736842
0.5,2,8.515151515151516,1.144921565709654
0.5,2,8.585858585858585,1.1261416826989623
0.5,2,8.656565656565657,1.1078201015318965
0.5,2,8.727272727272727,1.0899420301649307
0.5,2,8.797979797979798,1.072493268555219
0.5,2,8.868686868686869,1.0554601804551658
0.5,2,8.93939393939394,1.0388296667624246
0.5,2,9.01010101010101,1.022589140328078
0.5,2,9.08080808080808,1.0067265021325145
0.5,2,9.151515151515152,0.9912301187447917
0.5,2,9.222222222222221,0.9760888009870811
0.5,2,9.292929292929292,0.9612917837310964
0.5,2,9.363636363636363,0.9468287067584127
0.5,2,9.434343434343434,0.9326895966211042
0.5,2,9.505050505050505,0.9188648494434098
0.5,2,9.575757575757574,0.9053452146090372
0.5,2,9.646464646464647,0.892121779282366
0.5,2,9.717171717171716,0.8791859537151898
0.5,2,9.787878787878787,0.8665294572937535
0.5,2,9.858585858585858,0.8541443052837779
0.5,2,9.929292929292929,0.842022796233839
0.5,2,10.0,0.8301575
0.5,4,3.0,4.611986111111111
0.5,4,3.0707070707070705,4.402037340666119
0.5,4,3.1414141414141414,4.206105012096649
0.5,4,3.212121212121212,4.022968661000356
0.5,4,3.282828282828283,3.8515378260355027
0.5,4,3.3535353535353534,3.6908357787323998
