cone_half_angle_deg,avg_cos,alpha_eff,alpha_max
0.0,1.0,2.5942421875,2.5942421875
5.0,0.9980973490458728,2.589306250126716,2.5942421875
10.0,0.9924038765061041,2.574536003470675,2.5942421875
15.0,0.9829629131445341,2.5500438580274487,2.5942421875
20.0,0.9698463103929542,2.5160162138126214,2.5942421875
25.0,0.953153893518325,2.4727120417451216,2.5942421875
30.0,0.9330127018922194,2.420460912722157,2.5942421875
35.0,0.909576022144496,2.3596604893856856,2.5942421875
40.0,0.883022221559489,2.2907734996695983,2.5942421875
45.0,0.8535533905932737,2.2143242151607363,2.5942421875
50.0,0.8213938048432696,2.130894461075552,2.5942421875
55.0,0.786788218175523,2.041119188218896,2.5942421875
60.0,0.75,1.945681640625,2.5942421875
65.0,0.7113091308703497,1.84530815565782,2.5942421875
70.0,0.6710100716628344,1.7407626361451234,2.5942421875
75.0,0.6294095225512604,1.6328407366167121,2.5942421875
80.0,0.5868240888334653,1.5223638078930233,2.5942421875
85.0,0.5435778713738291,1.410172646109436,2.5942421875
90.0,0.5,1.29712109375,2.5942421875
95.0,0.4564221286261709,1.1840695413905638,2.5942421875
100.0,0.41317591116653485,1.071878379606977,2.5942421875
105.0,0.3705904774487396,0.9614014508832875,2.5942421875
110.0,0.32898992833716567,0.8534795513548769,2.5942421875
115.0,0.28869086912965036,0.7489340318421803,2.5942421875
120.0,0.2500000000000001,0.6485605468750003,2.5942421875
125.0,0.21321178182447692,0.5531229992811038,2.5942421875
130.0,0.17860619515673032,0.46334772642444794,2.5942421875
135.0,0.14644660940672627,0.3799179723392636,2.5942421875
140.0,0.11697777844051105,0.3034686878304017,2.5942421875
145.0,0.09042397785550405,0.23458169811431437,2.5942421875
150.0,0.06698729810778065,0.17378127477784347,2.5942421875
155.0,0.04684610648167503,0.12153014575487855,2.5942421875
160.0,0.03015368960704584,0.07822597368737862,2.5942421875
165.0,0.0170370868554659,0.04419832947255135,2.5942421875
170.0,0.00759612349389599,0.019706184029324874,2.5942421875
175.0,0.0019026509541272274,0.004935937373283981,2.5942421875
180.0,0.0,0.0,2.5942421875
